"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","39.9"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","253,965,921","54.0"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","37,914,086","54.6"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26","24.0"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","778,360","75.1"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","100,675","71.5"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","59.0"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","60,053,171","73.3"
"CENSUS","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,118,376","68.9"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","SALES","SALES: (1 TO 1,999 HEAD)","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","99.0"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CHICKENS","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","TURKEYS","TURKEYS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","TURKEYS","TURKEYS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","SALES","SALES: (1 TO 1,999 HEAD)","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","12","99.0"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","508","28.3"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, ROOSTERS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","CHICKENS","CHICKENS, ROOSTERS - SALES, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","TURKEYS","TURKEYS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","6","(H)"
