PopID,Year,CountType,FullPopEst,PopCategory,Total,Angler_harvest,Adult,Male,Clip_male,Unclip_male,Female,Clip_female,Unclip_female,Jacks,Clip_jacks,Unclip_jacks,Unk,Wild,lower95CI,upper95CI,SD,CI,Percent_Wild,Hatchery,Percent_Hatchery,Notes
americanriv.chin.fall,1985,Carcass survey,N,,56120,,44728,,,,,,,11392,,,,,,,,,,,,Data from GrandTab; Adult/Jacks data from Mills and Fisher 1994/Procite Rec 2292
americanriv.chin.fall,1986,Carcass survey,N,,49372,,44929,,,,,,,4443,,,,,,,,,,,,Data from GrandTab; Adult/Jacks data from Mills and Fisher 1994/Procite Rec 2292
americanriv.chin.fall,1987,Carcass survey,N,,39885,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1988,Carcass survey,N,,24889,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1989,Carcass survey,N,,19183,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1990,Carcass survey,N,,5339,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1991,Carcass survey,N,,17683,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1992,Carcass survey,N,,5911,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1993,Carcass survey,N,,31027,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1994,Carcass survey,N,,33598,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1995,Carcass survey,N,,70618,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1996,Carcass survey,N,,69745,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1997,Carcass survey,N,,47195,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1998,Carcass survey,N,,50457,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,1999,Carcass survey,N,,55339,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2000,Carcass survey,N,,100852,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2001,Carcass survey,N,,135384,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2002,Carcass survey,N,,124252,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2003,Carcass survey,N,,163742,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2004,Carcass survey,N,,99230,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2005,Carcass survey,N,,62679,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2006,Carcass survey,N,,24540,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2007,Carcass survey,N,,10120,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2008,Carcass survey,N,,2514,,,,,,,,,,,,,,,,,,,,,Data from GrandTab
americanriv.chin.fall,2009,Carcass survey,N,,5297,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2010,Carcass survey,N,,14688,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2011,Carcass survey,N,,25626,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2012,Carcass survey,N,,38328,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2013,Carcass survey,N,,58228,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2014,Carcass survey,N,,26475,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2015,Carcass survey,N,,15732,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2016,Carcass survey,N,,14473,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2017,Carcass survey,N,,9886,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.chin.fall,2018,Carcass survey,N,,21092,,,,,,,,,,,,,,,,,,,,,Data from GrandTab; data are considered preliminary as of 07May2019
americanriv.sthd,1972,Tag/recovery from angler census,,,19583,,,,,,,,,,,,,,,,,,,,,Data from Anonymous 1990/Procite Rec #5406
americanriv.sthd,1974,Tag/recovery from angler census,,,12274,,,,,,,,,,,,,,,,,,,,,Data from Anonymous 1990/Procite Rec #5406
americanriv.sthd,2002,AUC,N,,300,,,,,,,,,,,,,,,,,,,,,Data from CDFW spreadsheet from Robyn Bilski (sent to RJ and KP in May 2020) based on data presented in Sellheim et al. 2019; AUC estimate assumes an observer efficiency of 0.9 and residence time of 3 days; survey period - 2/7 - 4/2
americanriv.sthd,2002,Redd count,,,159,,,,,,,,,,,,,,,,,,,,,"Total count is a REDD COUNT, not a population estimate; data from Hannon and Deason 2004/Procite Rec #4955.  Pop estimates listed on page 27 with various ranges depending on if it is 1 or 2 redds per female.  Male/female ratio also provided (based on Nimbus hatchery returns)."
americanriv.sthd,2003,AUC,Y,,343,,,,,,,,,,,,,,,,,,,,,Data from CDFW spreadsheet from Robyn Bilski (sent to RJ and KP in May 2020) based on data presented in Sellheim et al. 2019; AUC estimate assumes an observer efficiency of 0.9 and residence time of 3 days
americanriv.sthd,2003,Redd count,,,215,,,,,,,,,,,,,,,,,,,,,"Total count is a REDD COUNT, not a population estimate; data from Hannon and Deason 2004/Procite Rec #4955.  Pop estimates listed on page 27 with various ranges depending on if it is 1 or 2 redds per female.  Male/female ratio also provided (based on Nimbus hatchery returns)."
americanriv.sthd,2004,AUC,Y,,330,,,,,,,,,,,,,,,,,,,,,Data from CDFW spreadsheet from Robyn Bilski (sent to RJ and KP in May 2020) based on data presented in Sellheim et al. 2019; AUC estimate assumes an observer efficiency of 0.9 and residence time of 3 days
americanriv.sthd,2004,Redd count,,,197,,,,,,,,,,,,,,,,,,,,,"Total count is a REDD COUNT, not a population estimate; data from Hannon and Deason 2004/Procite Rec #4955.  Pop estimates listed on page 27 with various ranges depending on if it is 1 or 2 redds per female.  Male/female ratio also provided (based on Nimbus hatchery returns)."
americanriv.sthd,2005,AUC,Y,,266,,,,,,,,,,,,,,,,,,,,,Data from CDFW spreadsheet from Robyn Bilski (sent to RJ and KP in May 2020) based on data presented in Sellheim et al. 2019; AUC estimate assumes an observer efficiency of 0.9 and residence time of 3 days
americanriv.sthd,2005,Redd count,,,155,,,,,,,,,,,,,,,,,,,,,"Total count is a REDD COUNT, not a population estimate; data from Hannon and Deason 2005/Procite Rec #5424"
americanriv.sthd,2007,AUC,Y,,504,,,,,,,,,,,,,,,,,,,,,Data from CDFW spreadsheet from Robyn Bilski (sent to RJ and KP in May 2020) based on data presented in Sellheim et al. 2019; AUC estimate assumes an observer efficiency of 0.9 and residence time of 3 days
americanriv.sthd,2007,Redd count,,,178,,,,,,,,,,,,,,,,,,,,,"Total count is a REDD COUNT, not a population estimate; data from Hannon and Deason 2007/Procite Rec #5425"
