"","FilterID","Start_Coord_X","Start_Coord_Y","End_Coord_X","End_Coord_Y"
"1","WC718105900004",-119.9661471,37.60504648,-119.9654354,37.60401681
"2","WC718105900006",-119.9647366,37.60402259,-119.9632652,37.60181693
"3","WC718105900010",-119.8389578,37.66826397,-119.8372833,37.66955499
"4","WC718105900012",-119.8371833,37.66947964,-119.8357427,37.67122127
"5","WC718105900014",-119.8353232,37.67202338,-119.8353232,37.67202338
"6","WC718105900017",-119.8312759,37.6734214,-119.8284989,37.67154548
"7","WC718105900020",-119.8286634,37.67134591,-119.8251247,37.67045969
"8","WC718105900021",-119.8251082,37.67041711,-119.821648,37.67000958
"9","WC718105900022",-119.8216457,37.67002899,-119.8186973,37.66994927
"10","WC718105900023",-119.8186975,37.66994425,-119.8169761,37.66941225
"11","WC718105900025",-119.8191477,37.67025748,-119.818785,37.671493
"12","WC718105900026",-119.8187841,37.67151975,-119.816666,37.672706
"13","WC718105900028",-119.8165945,37.67277758,-119.8154631,37.67438787
"14","WC718105900031",-119.9775827,37.70638885,-119.975541,37.7053331
"15","WC718105900032",-119.9755049,37.70531609,-119.9740678,37.70448418
"16","WC718105900033",-119.9738264,37.70436369,-119.97065,37.70439202
"17","WC718105900034",-119.9706398,37.70433654,-119.967009,37.70483171
"18","WC718105900035",-119.9669258,37.7048335,-119.966042,37.70468552
"19","WC718105900036",-119.9660294,37.704733,-119.9650482,37.70443771
"20","WC718105900038",-119.923818,37.724291,-119.9225667,37.72518333
"21","WC718105900039",-119.9226667,37.72505,-119.9206833,37.72475
"22","WC718105900041",-119.9206333,37.72481667,-119.9185,37.72535
"23","WC718105900042",-119.9185,37.72535,-119.9163067,37.72873167
"24","WC718105900043",-119.9160333,37.72883333,-119.91465,37.73158333
"25","WC718105900044",-119.9146833,37.73156667,-119.9144333,37.73308333
"26","WC718105900045",-119.9466145,37.46619087,-119.9466145,37.46619087
"27","WC718105900046",-119.9141361,37.73399722,-119.91415,37.73455
"28","WC718105900047",-119.9141833,37.73461667,-119.91425,37.73543333
"29","WC718105900048",-119.9142333,37.73545,-119.9139667,37.73623333
"30","WC718105900050",-119.9137667,37.73613333,-119.9121667,37.73618333
"31","WC718105900051",-119.9120667,37.7362,-119.9104167,37.737
"32","WC718105900054",-119.8170032,37.66923639,-119.8143854,37.66807322
"33","WC718105900055",-119.8143029,37.66816171,-119.8109415,37.66721975
"34","WC718105900056",-119.810778,37.66722348,-119.808827,37.666163
"35","WC718105900057",-119.8086614,37.66601238,-119.8066704,37.66600618
"36","WC718105900058",-119.8065977,37.66781314,-119.8079478,37.66883444
"37","WC718105900061",-119.7857792,37.67261455,-119.7831856,37.67370452
"38","WC718105900062",-119.7756871,37.67703743,-119.7759715,37.67765773
"39","WC718105900063",-119.7759797,37.67762622,-119.7768916,37.67859093
"40","WC718105900064",-119.9251276,37.64244343,-119.9235663,37.64251599
"41","WC718105900066",-120.03721,37.746856,-120.037265,37.748835
"42","WC718105900067",-120.037012,37.75025,-120.0366796,37.75075296
"43","WC718105900068",-120.0365131,37.75077572,-120.0352409,37.75080199
"44","WC718105900069",-120.0352363,37.75079705,-120.0326965,37.75123439
"45","WC718105900071",-120.0327639,37.75131992,-120.032197,37.75179741
"46","WC718105900072",-120.0322142,37.75175736,-120.0306158,37.75287392
"47","WC718105900077",-120.035663,37.75193,-120.036076,37.75224712
"48","WC718105900078",-120.037473,37.75274,-120.038863,37.75211737
"49","WC718105900082",-120.077178,37.740194,-120.077627,37.74018
"50","WC718105900083",-120.077572,37.740175,-120.07818,37.74
"51","WC718105900084",-120.0783667,37.73995,-120.0793833,37.73926667
"52","WC718105900085",-120.07945,37.73925,-120.0808667,37.73906667
"53","WC718105900087",-120.021306,37.62010545,-120.0210771,37.61753573
"54","WC718105900088",-120.0211458,37.61748455,-120.0203316,37.61536402
"55","WC718105900089",-120.0199466,37.61568203,-120.0186103,37.61394173
"56","WC718105900091",-120.0185916,37.61388771,-120.0155047,37.61216892
"57","WC718106F2",-119.9320445,37.81225723,-119.9300288,37.81174396
"58","WC718106F3",-119.9302126,37.81184974,-119.9282306,37.8115645
"59","WC718106F5",-119.9281793,37.81165939,-119.9280164,37.81101545
"60","WC7181072102",-119.8759533,37.86289964,-119.8724769,37.86150711
"61","WC7181072103",-119.8724305,37.86137858,-119.8712743,37.86069444
"62","WC7181072105",-119.871217,37.86072311,-119.8686225,37.85805385
"63","WC7181072106",-119.8686295,37.85803382,-119.8651779,37.85658534
"64","WC7181072109",-119.8654781,37.85662331,-119.8602664,37.85818867
"65","WC7181072111",-119.8603471,37.8583701,-119.858888,37.85986665
"66","WC7181072112",-119.8587331,37.86002666,-119.857041,37.86169046
"67","WC7181072113",-119.8144865,37.66906486,-119.8144958,37.66909021
"68","WC7181072115",-119.8992943,37.88585801,-119.8967013,37.88552009
"69","WC7181072116",-119.8967128,37.88548304,-119.8918388,37.88540794
"70","WC7181072125",-119.8569212,37.86182617,-119.854506,37.8617478
"71","WC7181072126",-119.854506,37.8617478,-119.8517528,37.86324233
"72","WC7181072127",-119.8517528,37.86324233,-119.8503979,37.86485216
"73","WC7181072128",-119.8505037,37.86472882,-119.8495647,37.86484462
"74","WC7181072131",-119.8739988,37.87471418,-119.8719192,37.8752707
"75","WC7181072132",-119.8718962,37.87527024,-119.8674998,37.87557048
"76","WC7181072136",-119.971708,37.895125,-119.971214,37.895216
"77","WC7181072137",-119.877369,37.97481,-119.877404,37.974769
"78","WC7181072138",-119.9345552,37.89921918,-119.9334592,37.89803176
"79","WC718107214",-120.0201795,37.82791237,-120.0202207,37.82797933
"80","WC7181072146",-119.9206135,37.95539482,-119.9210648,37.95790684
"81","WC7181072147",-119.9209803,37.95785462,-119.9204216,37.95967378
"82","WC7181072148",-119.9202865,37.95964109,-119.9183559,37.96142158
"83","WC7181072149",-119.9181168,37.96129082,-119.9188241,37.96364831
"84","WC7181072150",-119.9188241,37.96364831,-119.9183944,37.96553902
"85","WC7181072151",-119.9183809,37.96550972,-119.9181146,37.96611959
"86","WC7181072152",-119.9180258,37.96610622,-119.9134284,37.9687943
"87","WC7181072155",-119.8500493,37.83236692,-119.8500493,37.83236692
"88","WC7181072156",-119.8318855,37.84101373,-119.8319296,37.84096252
"89","WC7181072157",-119.826918,37.84120891,-119.8269011,37.84118401
"90","WC7181072159",-120.0712056,37.8959398,-120.071933,37.89911038
"91","WC718107216",-120.0202401,37.82797948,-120.0201558,37.82810528
"92","WC7181072160",-120.0718407,37.89910162,-120.0713605,37.90135862
"93","WC7181072161",-120.0713008,37.90135828,-120.0703363,37.90259319
"94","WC7181072164",-120.1163054,37.86390169,-120.1156059,37.86444753
"95","WC7181072165",-120.1156123,37.86446043,-120.1149021,37.86599937
"96","WC7181072166",-120.1472627,37.88609588,-120.1472561,37.88613119
"97","WC7181072167",-120.1471771,37.88630166,-120.1471874,37.8862846
"98","WC7181072169",-120.1536432,37.88334746,-120.1536969,37.88334595
"99","WC7181072170",-120.1536642,37.88336561,-120.1536548,37.88338442
"100","WC7181072171",-120.2241966,37.8927292,-120.2241966,37.8927292
"101","WC7181072172",-120.2241966,37.8927292,-120.2241966,37.8927292
"102","WC7181072176",-120.01471,37.84244,-120.01337,37.84338
"103","WC7181072177",-120.01334,37.84353,-120.01137,37.8442
"104","WC7181072178",-120.01154,37.8447,-120.00976,37.84563
"105","WC718107218",-120.0201457,37.82810453,-120.0201457,37.82810453
"106","WC7181072180",-120.00719,37.84668,-120.00719,37.84668
"107","WC7181072183",-120.00719,37.84674,-120.00637,37.846675
"108","WC718107219",-120.0201162,37.82798182,-120.0199313,37.82827538
"109","WC7181072192",-119.968218,37.896271,-119.967658,37.895959
"110","WC7181072193",-119.949857,37.894019,-119.949631,37.89413
"111","WC7181072194",-119.949574,37.894147,-119.949045,37.894184
"112","WC718107220",-120.018693,37.82824755,-120.018693,37.82824755
"113","WC718107221",-120.0186136,37.82816394,-120.0180541,37.82800481
"114","WC718107222",-120.0180541,37.82800481,-120.0185438,37.82718749
"115","WC718107224",-120.013484,37.82173033,-120.0127107,37.82136542
"116","WC718107225",-120.0123356,37.82156839,-120.0105086,37.82109599
"117","WC718107226",-120.010516,37.82115697,-120.0095392,37.82024074
"118","WC718107227",-120.0095855,37.82023198,-120.0092132,37.81965208
"119","WC718107228",-120.0092132,37.81965208,-120.0092132,37.81965208
"120","WC718107229",-120.0086493,37.81893794,-120.0074076,37.81882659
"121","WC718107230",-120.0073828,37.81884247,-120.0070575,37.81721483
"122","WC718107231",-120.0068642,37.81724551,-120.0068636,37.81623679
"123","WC718107233",-120.0069684,37.81607778,-120.0056442,37.81579682
"124","WC718107234",-120.0056268,37.81580458,-120.0052179,37.81531763
"125","WC718107237",-119.9190984,37.8210019,-119.9175862,37.82278234
"126","WC718107238",-119.9175864,37.82277258,-119.914702,37.82378595
"127","WC718107239",-119.9146571,37.82375582,-119.910581,37.82482769
"128","WC718107241",-119.9201038,37.80610286,-119.9197564,37.80603718
"129","WC718107242",-119.9197564,37.80603718,-119.9155904,37.80558473
"130","WC718107243",-119.9160711,37.80616463,-119.9156853,37.80621098
"131","WC718107245",-119.9156752,37.80631249,-119.9140704,37.80689076
"132","WC718107246",-119.9139173,37.80684738,-119.9129239,37.80760125
"133","WC718107247",-119.9129264,37.80761076,-119.9125579,37.80820537
"134","WC718107252",-119.8614808,37.81385628,-119.857635,37.81054585
"135","WC718107253",-119.8577031,37.81067401,-119.8546448,37.80760012
"136","WC718107254",-119.8540039,37.80771734,-119.8509526,37.80398965
"137","WC718107255",-119.8503524,37.80356964,-119.8478795,37.80240065
"138","WC718107259",-119.8464498,37.83424769,-119.8465438,37.83449438
"139","WC718107260",-119.8465321,37.83449618,-119.8460777,37.83484998
"140","WC718107263",-119.8613326,37.84740271,-119.8596263,37.84820796
"141","WC718107265",-119.8596334,37.84820004,-119.8584506,37.84909372
"142","WC718107266",-119.8581808,37.84944233,-119.8578476,37.84974102
"143","WC718107267",-119.8578312,37.84971796,-119.8556485,37.85091654
"144","WC718107269",-120.0028918,37.82865692,-119.999341,37.82915347
"145","WC718107270",-119.9993795,37.82916252,-119.9988148,37.83048615
"146","WC718107272",-119.99876,37.83048393,-119.9995029,37.83233604
"147","WC718107273",-119.9994944,37.83239936,-119.995978,37.83452162
"148","WC718107274",-119.9960121,37.83450758,-119.9955325,37.83706871
